Nome,Dono,Idade (anos),Dias desde última atualização,Linguagem,Releases,Pull Requests,Issues Fechadas,Total Issues,Taxa de Fechamento de Issues,Stars
standard,standard,10,0,JavaScript,7,412,1121,1231,0.9106417546709992,29248
awesome-macos-command-line,herrbischoff,9,0,Unknown,0,104,0,0,0,29235
es6features,lukehoban,10,0,Unknown,0,41,36,57,0.631578947368421,29221
algo,trailofbits,8,0,Jinja,2,530,1428,1602,0.8913857677902621,29192
rocksdb,facebook,12,0,C++,200,606,2597,3286,0.7903225806451613,29133
ruoyi-vue-pro,YunaiV,4,0,Java,34,55,509,519,0.9807321772639692,29122
awesome-python-cn,jobbole,9,0,Makefile,0,51,18,31,0.5806451612903226,29097
directus,directus,12,0,TypeScript,327,7719,8430,8962,0.9406382503905378,29085
COVID-19,CSSEGISandData,5,0,Unknown,0,2152,2079,3759,0.553072625698324,29083
cheerio,cheeriojs,13,0,TypeScript,58,2606,1178,1205,0.9775933609958506,29062
alpine,alpinejs,5,0,HTML,136,655,604,604,1.0,29018
pytorch-lightning,Lightning-AI,5,0,Python,163,8829,6352,7217,0.8801441041984204,28988
